original,translated,source
建筑,architecture,baidu_cloud
 集团 有限公司,Group Limited Company,baidu_cloud
 集团 有限公司, Group Limited Company,cache
3.200(结),3.200 (Conclusion),baidu_cloud
9.888(结),9.888 (Conclusion),baidu_cloud
7.250(结),7.250 (Conclusion),baidu_cloud
 集团 有限公司, Group Limited Company,cache
10.211(结),10.211 (Conclusion),baidu_cloud
6.500(结),6.500 (Conclusion),baidu_cloud
9.288(结),9.288 (Conclusion),baidu_cloud
4.474(结),4.474 (Conclusion),baidu_cloud
11.483(结),11.483 (Conclusion),baidu_cloud
屋面水落口,Roof water outlet,baidu_cloud
